way,node1,node2,count
https://www.openstreetmap.org/way/427921125,https://www.openstreetmap.org/node/4270844713,https://www.openstreetmap.org/node/4392370201,41
https://www.openstreetmap.org/way/1061553416,https://www.openstreetmap.org/node/9753218542,https://www.openstreetmap.org/node/9753218547,1
https://www.openstreetmap.org/way/738080871,https://www.openstreetmap.org/node/10292509551,https://www.openstreetmap.org/node/1757440832,4
https://www.openstreetmap.org/way/956069791,https://www.openstreetmap.org/node/8848388115,https://www.openstreetmap.org/node/8848530017,4
https://www.openstreetmap.org/way/192726452,https://www.openstreetmap.org/node/2032688797,https://www.openstreetmap.org/node/11350016776,1
https://www.openstreetmap.org/way/893029131,https://www.openstreetmap.org/node/11433203742,https://www.openstreetmap.org/node/1931824989,4
https://www.openstreetmap.org/way/245671900,https://www.openstreetmap.org/node/2528240819,https://www.openstreetmap.org/node/3160068813,1
https://www.openstreetmap.org/way/238587816,https://www.openstreetmap.org/node/2464080279,https://www.openstreetmap.org/node/2464080283,1
https://www.openstreetmap.org/way/965707035,https://www.openstreetmap.org/node/269719225,https://www.openstreetmap.org/node/8840311521,30
https://www.openstreetmap.org/way/23735325,https://www.openstreetmap.org/node/3948519844,https://www.openstreetmap.org/node/257060335,1
https://www.openstreetmap.org/way/37212255,https://www.openstreetmap.org/node/1586952076,https://www.openstreetmap.org/node/8761694418,240
https://www.openstreetmap.org/way/138642790,https://www.openstreetmap.org/node/429201812,https://www.openstreetmap.org/node/247040827,6
https://www.openstreetmap.org/way/24573194,https://www.openstreetmap.org/node/267163796,https://www.openstreetmap.org/node/267163792,23
https://www.openstreetmap.org/way/186640363,https://www.openstreetmap.org/node/257293724,https://www.openstreetmap.org/node/257293737,1
https://www.openstreetmap.org/way/442360579,https://www.openstreetmap.org/node/333651746,https://www.openstreetmap.org/node/1145527559,2
https://www.openstreetmap.org/way/99629203,https://www.openstreetmap.org/node/1151975750,https://www.openstreetmap.org/node/1151976178,1
https://www.openstreetmap.org/way/216658879,https://www.openstreetmap.org/node/2260508729,https://www.openstreetmap.org/node/420325332,278
https://www.openstreetmap.org/way/34654329,https://www.openstreetmap.org/node/403162197,https://www.openstreetmap.org/node/403162204,8
https://www.openstreetmap.org/way/1125516162,https://www.openstreetmap.org/node/7014291390,https://www.openstreetmap.org/node/7014291391,30
https://www.openstreetmap.org/way/974875593,https://www.openstreetmap.org/node/256490269,https://www.openstreetmap.org/node/256331549,2
https://www.openstreetmap.org/way/152153385,https://www.openstreetmap.org/node/2027101169,https://www.openstreetmap.org/node/503387854,1
https://www.openstreetmap.org/way/191096529,https://www.openstreetmap.org/node/2016804905,https://www.openstreetmap.org/node/6395246638,2
https://www.openstreetmap.org/way/313953762,https://www.openstreetmap.org/node/1646534344,https://www.openstreetmap.org/node/1646534426,1
https://www.openstreetmap.org/way/1117626871,https://www.openstreetmap.org/node/10221791998,https://www.openstreetmap.org/node/10221792036,1
https://www.openstreetmap.org/way/392669609,https://www.openstreetmap.org/node/3958597270,https://www.openstreetmap.org/node/3958597264,1
